Strain (mm/mm)	Engineering stress (MPa)	Strain up to UTS (mm/mm)	Engineering stress up to UTS (MPa)	True strain (mm/mm)	True stress (MPa)	True strain in plastic region (mm/mm)	True stress in plastic region (MPa)	Fitted true strain in plastic region (mm/mm)	Fitted true stress in plastic region (MPa)	Plastic strain for Ansys (mm/mm)
0	0	0	0	0	0	0.006185331	360.224609	0.0062	360	0.000
0.000052	0.242005981	0.000052	0.242005981	5.19986E-05	0.242018565	0.00627676	360.433081	0.01	372	0.005
0.000052	1.534772971	0.000052	1.534772971	5.19986E-05	1.534852779	0.006328433	360.834713	0.015	382	0.010
0.00002	3.492884038	0.00002	3.492884038	1.99998E-05	3.492953896	0.006387556	360.8858847	0.02	392	0.015
0.000044	5.027657009	0.000044	5.027657009	4.3999E-05	5.027878225	0.006463069	361.1844704	0.025	402	0.019
0.000092	7.029205047	0.000092	7.029205047	9.19958E-05	7.029851734	0.006490889	361.2902856	0.03	411	0.024
0.000164	8.885273707	0.000164	8.885273707	0.000163987	8.886730892	0.006526655	361.2372788	0.035	419	0.029
0.000128	10.75582136	0.000128	10.75582136	0.000127992	10.7571981	0.006609608	361.5538877	0.04	427	0.034
0.000152	12.40642625	0.000152	12.40642625	0.000151988	12.40831203	0.006637423	361.7402376	0.045	435	0.039
0.000232	14.52518516	0.000232	14.52518516	0.000231973	14.528555	0.006697025	362.0415243	0.05	442	0.044
0.000232	16.45433825	0.000232	16.45433825	0.000231973	16.45815566	0.006792379	362.2822182	0.055	449	0.049
0.0002	18.28834369	0.0002	18.28834369	0.00019998	18.29200135	0.006836081	362.3792727	0.06	456	0.054
0.0002635	20.10787013	0.0002635	20.10787013	0.000263465	20.11316856	0.006875311	362.6871495	0.065	462	0.059
0.0002795	22.19008683	0.0002795	22.19008683	0.000279461	22.19628896	0.006942843	362.8956273	0.07	468	0.063
0.000256	24.03098702	0.000256	24.03098702	0.000255967	24.03713896	0.007038174	363.128807	0.075	474	0.068
0.0003275	25.63884442	0.0003275	25.63884442	0.000327446	25.64724114	0.007121085	363.3137675	0.08	479	0.073
0.0003915	27.72864535	0.0003915	27.72864535	0.000391423	27.73950112	0.007148886	363.382894	0.085	484	0.078
0.0003715	29.5254191	0.0003715	29.5254191	0.000371431	29.53638779	0.007192571	363.8029404	0.09	489	0.083
0.0003915	31.38148776	0.0003915	31.38148776	0.000391423	31.39377361	0.007271995	363.8096118	0.095	493	0.088
0.0004635	33.17895098	0.0004635	33.17895098	0.000463393	33.19432943	0.007283908	364.1021701	0.1	498	0.093
0.0004755	35.26116768	0.0004755	35.26116768	0.000475387	35.27793437	0.0073395	364.2022856	0.105	502	0.098
0.0004515	37.20479976	0.0004515	37.20479976	0.000451398	37.22159773	0.007394592	364.3036184	0.11	506	0.103
0.0004955	39.03191044	0.0004955	39.03191044	0.000495377	39.05125075	0.007462089	364.4977007	0.115	509	0.108
0.000543	40.85833164	0.000543	40.85833164	0.000542853	40.88051772	0.007541491	364.8059112	0.12	513	0.113
0.000527	42.54547875	0.000527	42.54547875	0.000526861	42.56790021	0.007557371	364.8485236	0.125	517	0.118
0.0004995	44.80351176	0.0004995	44.80351176	0.000499375	44.82589111	0.007612948	364.6999784	0.13	520	0.123
0.0005035	46.2652003	0.0005035	46.2652003	0.000503373	46.28849483	0.007675964	365.1870799	0.135	523	0.128
0.000583	48.28812209	0.000583	48.28812209	0.00058283	48.31627406	0.007787102	365.3666412	0.14	526	0.133
0.000603	49.90356372	0.000603	49.90356372	0.000602818	49.93365557	0.007826791	365.521511	0.145	529	0.138
0.000655	51.87615377	0.000655	51.87615377	0.000654786	51.91013266	0.007862509	365.7117713	0.15	533	0.143
0.000615	53.47642694	0.000615	53.47642694	0.000614811	53.50931494	0.007929478	365.8613571	0.155	536	0.148
0.000687	55.17115828	0.000687	55.17115828	0.000686764	55.20906086	0.008000907	366.3072797	0.16	539	0.152
0.000707	57.28302243	0.000707	57.28302243	0.00070675	57.32352153	0.008048524	366.1405348	0.165	542	0.157
0.000671	59.11702787	0.000671	59.11702787	0.000670775	59.1566954	0.008115976	366.4669037			
0.000711	60.98688604	0.000711	60.98688604	0.000710747	61.03024772	0.008190863	366.6493659			
0.000751	62.73401754	0.000751	62.73401754	0.000750718	62.78113079	0.00823847	366.7996008			
0.000787	64.88173443	0.000787	64.88173443	0.00078669	64.93279636	0.008286075	366.8462616			
0.000779	66.55509202	0.000779	66.55509202	0.000778697	66.60693844	0.008345579	366.8611382			
0.000747	68.46907664	0.000747	68.46907664	0.000746721	68.52022305	0.008389212	367.0676539			
0.0008025	70.34720853	0.0008025	70.34720853	0.000802178	70.40366216	0.008436314	367.1739445			
0.0008825	72.2170667	0.0008825	72.2170667	0.000882111	72.28079826	0.008519605	367.2705886			
0.0008985	73.75183967	0.0008985	73.75183967	0.000898097	73.8181057	0.008594957	367.4609944			
0.0009105	75.66582429	0.0009105	75.66582429	0.000910086	75.73471803	0.008670304	367.6500337			
0.0010105	77.20059726	0.0010105	77.20059726	0.00100999	77.27860847	0.008741184	367.9195289			
0.00107	79.06356068	0.00107	79.06356068	0.001069428	79.14815869	0.00879273	367.9760547			
0.001062	80.99960853	0.001062	80.99960853	0.001061436	81.08563011	0.008828415	368.1366509			
0.0010185	82.7019241	0.0010185	82.7019241	0.001017982	82.78615601	0.008852203	368.2184471			
0.0010505	84.26565505	0.0010505	84.26565505	0.001049949	84.35417612	0.008911673	368.4914743			
0.001114	85.92453365	0.001114	85.92453365	0.00111338	86.02025358	0.009006321	368.7037599			
0.00119	87.96331338	0.00119	87.96331338	0.001189293	88.06798972	0.009073709	368.8601057			
0.001174	89.91384021	0.001174	89.91384021	0.001173311	90.01939906	0.009093528	368.7644417			
0.00117	91.50583967	0.00117	91.50583967	0.001169316	91.6129015	0.009133165	369.0149355			
0.001234	93.27503439	0.001234	93.27503439	0.001233239	93.39013578	0.009192618	369.2365821			
0.001262	95.27589295	0.001262	95.27589295	0.001261204	95.39613113	0.009259498	369.3197322			
0.001266	97.11817209	0.001266	97.11817209	0.001265199	97.2411237	0.009358572	369.4300954			
0.001298	98.65983982	0.001298	98.65983982	0.001297158	98.78790029	0.009449711	369.707374			
0.0013655	100.6172614	0.0013655	100.6172614	0.001364569	100.7546543	0.009504687	369.9044991			
0.0013655	102.3202665	0.0013655	102.3202665	0.001364569	102.4599848	0.009520536	369.7927256			
0.0013535	103.9715608	0.0013535	103.9715608	0.001352585	104.1122863	0.009572041	370.1215402			
0.0014175	105.8641717	0.0014175	105.8641717	0.001416496	106.0142342	0.00963543	370.1373447			
0.0014735	107.6685297	0.0014735	107.6685297	0.001472415	107.8271793	0.009694853	370.1370618			
0.0014375	109.1957184	0.0014375	109.1957184	0.001436468	109.3526873	0.00976368	370.4291983			
0.0014855	110.8021969	0.0014855	110.8021969	0.001484398	110.9667935	0.009862703	370.5974838			
0.0015415	112.6658498	0.0015415	112.6658498	0.001540313	112.8395242	0.009862703	370.834229			
0.0015335	114.5805239	0.0015335	114.5805239	0.001532325	114.7562331	0.009862703	370.8565109			
0.0015495	116.1801075	0.0015495	116.1801075	0.001548301	116.3601286	0.009961717	370.9593885			
0.001637	117.9630918	0.001637	117.9630918	0.001635662	118.1561974	0.010060721	371.1138164			
0.001597	119.8412237	0.001597	119.8412237	0.001595726	120.0326101	0.010159715	371.4612025			
0.001649	121.3753072	0.001649	121.3753072	0.001647642	121.575455	0.010159715	371.5865754			
0.001673	123.296876	0.001673	123.296876	0.001671602	123.5031517	0.010258699	371.6017644			
0.001693	124.846128	0.001693	124.846128	0.001691568	125.0574925	0.010357674	371.9186003			
0.001745	126.5849858	0.001745	126.5849858	0.001743479	126.8058766	0.010357674	371.9624895			
