Strain (mm/mm)	Stress (MPa)
0	0
0.000052	0.242005981
0.000052	1.534772971
0.00002	3.492884038
0.000044	5.027657009
0.000092	7.029205047
0.000164	8.885273707
0.000128	10.75582136
0.000152	12.40642625
0.000232	14.52518516
0.000232	16.45433825
0.0002	18.28834369
0.0002635	20.10787013
0.0002795	22.19008683
0.000256	24.03098702
0.0003275	25.63884442
0.0003915	27.72864535
0.0003715	29.5254191
0.0003915	31.38148776
0.0004635	33.17895098
0.0004755	35.26116768
0.0004515	37.20479976
0.0004955	39.03191044
0.000543	40.85833164
0.000527	42.54547875
0.0004995	44.80351176
0.0005035	46.2652003
0.000583	48.28812209
0.000603	49.90356372
0.000655	51.87615377
0.000615	53.47642694
0.000687	55.17115828
0.000707	57.28302243
0.000671	59.11702787
0.000711	60.98688604
0.000751	62.73401754
0.000787	64.88173443
0.000779	66.55509202
0.000747	68.46907664
0.0008025	70.34720853
0.0008825	72.2170667
0.0008985	73.75183967
0.0009105	75.66582429
0.0010105	77.20059726
0.00107	79.06356068
0.001062	80.99960853
0.0010185	82.7019241
0.0010505	84.26565505
0.001114	85.92453365
0.00119	87.96331338
0.001174	89.91384021
0.00117	91.50583967
0.001234	93.27503439
0.001262	95.27589295
0.001266	97.11817209
0.001298	98.65983982
0.0013655	100.6172614
0.0013655	102.3202665
0.0013535	103.9715608
0.0014175	105.8641717
0.0014735	107.6685297
0.0014375	109.1957184
0.0014855	110.8021969
0.0015415	112.6658498
0.0015335	114.5805239
0.0015495	116.1801075
0.001637	117.9630918
0.001597	119.8412237
0.001649	121.3753072
0.001673	123.296876
0.001693	124.846128
0.001745	126.5849858
0.001757	128.4479492
0.001725	130.14337
0.001805	131.8229329
0.001809	133.4307903
0.001829	135.2351482
0.001821	136.9236743
0.0018885	138.6473636
0.0018885	140.3358897
0.0019125	141.9499524
0.0019325	143.7115628
0.0019445	145.4642101
0.0019765	147.0865465
0.0019765	148.7081934
0.0020365	150.5428884
0.0020245	152.0914508
0.0020685	153.9406247
0.0020845	155.5546874
0.0021125	157.3955876
0.002132	158.9372553
0.002152	160.5009863
0.002184	162.1309069
0.002208	163.789096
0.002224	165.4921011
0.00226	167.0841005
0.00224	168.7209159
0.002272	170.3067101
0.00228	171.88492
0.002316	173.6092988
0.002316	175.2681774
0.002344	177.0215142
0.002332	178.803809
0.0023915	180.2944555
0.0024035	182.0408975
0.0024275	183.7501078
0.0024235	185.1235435
0.0024835	187.0085701
0.0024755	188.4550902
0.0025035	190.0264054
0.0025515	191.5756574
0.0025195	193.0587196
0.0025355	194.753451
0.0025395	196.5226457
0.0025195	198.2683982
0.0025795	200.0444877
0.002643	201.5054868
0.0025995	203.0830073
0.0026355	204.7129279
0.002719	206.1084267
0.002691	207.6942209
0.002751	209.2214097
0.002795	211.1498733
0.002775	212.6184566
0.002835	214.5400254
0.002867	215.9065663
0.002855	217.3606706
0.0029425	218.8878594
0.002903	220.6846331
0.0029545	222.1242584
0.0029745	223.6804052
0.0030265	225.4337419
0.0029865	226.9388674
0.0030345	228.1964712
0.0031065	230.0077239
0.0031305	231.5790391
0.0031185	233.1344963
0.0031305	234.8595646
0.0031345	236.3426269
0.003214	237.803626
0.003266	239.6010892
0.003274	241.3040942
0.00327	242.8230093
0.003282	244.4232824
0.00331	245.8187813
0.003394	247.4114702
0.003358	248.938659
0.003386	250.17351
0.003354	252.0082049
0.003418	253.3740563
0.0034775	254.8791818
0.0034895	256.6401029
0.0035135	258.0059543
0.0034775	259.6868961
0.0035415	261.2437323
0.0036015	262.7405841
0.0035695	264.5821738
0.0036055	265.9852569
0.0036495	267.4538402
0.003705	269.0320501
0.0036655	270.4640912
0.003721	272.0781539
0.003789	273.7080745
0.003801	275.1035734
0.003785	276.4694248
0.003877	277.9966135
0.003861	279.6851396
0.003865	281.2185336
0.003889	282.343758
0.003941	284.0908895
0.003929	285.6387625
0.0039885	286.8232818
0.003965	288.5324921
0.0040325	289.9066173
0.0041005	291.5723906
0.0040965	292.9306578
0.0040725	294.4288886
0.0041485	295.8829929
0.0041645	297.483266
0.0041245	298.9077229
0.0041085	300.1653266
0.0041845	301.8083473
0.0041445	303.2403884
0.0041125	304.4614499
0.0041725	306.1265338
0.004232	307.5220326
0.004232	309.0933478
0.0042245	310.3799095
0.004248	312.0525776
0.004284	313.6011401
0.004316	314.9456178
0.00428	316.4652223
0.004364	317.8758896
0.004364	319.2272621
0.00436	320.9006197
0.00434	322.1278865
0.004428	323.5523433
0.004452	324.9781791
0.004396	326.2123407
0.00444	327.4320232
0.004484	329.0398806
0.004492	330.5746536
0.0045035	331.5316459
0.0045275	333.0291872
0.0045715	334.3957281
0.0045715	335.7615795
0.0045755	337.1143309
0.0046155	338.2678238
0.0046235	339.6343647
0.0046115	340.8181945
0.0046555	341.7386446
0.0047075	342.8273268
0.0046795	343.9235932
0.0047035	344.9247119
0.004819	345.647972
0.004831	346.6270275
0.004803	347.4302667
0.004827	348.1100898
0.004911	348.9057448
0.004947	349.5786731
0.004971	350.4115598
0.005007	350.7404397
0.0050865	351.3464889
0.0051105	352.0118329
0.0051465	352.420692
0.0051905	352.8660934
0.0052745	353.3707896
0.00531	353.5459164
0.005342	354.1305918
0.005458	354.0506127
0.005466	354.6421828
0.005514	355.022084
0.0055695	355.1027526
0.0056655	355.5998646
0.0056695	355.6936333
0.0057375	356.0156185
0.0058055	356.2934772
0.005849	356.5933991
0.005913	357.0098425
0.005961	357.0532795
0.006045	357.3090749
0.0060965	357.5724547
0.0061325	357.7399973
0.0062045	358.003377
0.0062965	358.1778144
0.0063485	358.558405
0.006408	358.5880524
0.006484	358.8576374
0.006512	358.9527851
0.006548	358.8872849
0.0066315	359.1720384
0.0066595	359.3471652
0.0067195	359.6250239
0.0068155	359.8297982
0.0068595	359.9104669
0.006899	360.2021151
0.006967	360.3848262
0.007063	360.5820162
0.0071465	360.7357693
0.0071745	360.7943748
0.0072185	361.1956496
0.0072985	361.1735864
0.0073105	361.4597188
0.0073665	361.5390085
0.007422	361.6196772
0.00749	361.7879093
0.00757	362.0650785
0.007586	362.1016207
0.007642	361.9340781
0.0077055	362.3946479
0.0078175	362.5325431
0.0078575	362.6718172
0.0078935	362.8476335
0.007961	362.9717391
0.008033	363.3881824
0.008081	363.2054714
0.008149	363.5047038
0.0082245	363.6584569
0.0082725	363.7901468
0.0083205	363.8191048
0.0083805	363.81221
0.0084245	364.0011264
0.008472	364.0893793
0.008556	364.1548795
0.008632	364.3162168
0.008708	364.4761751
0.0087795	364.7174916
0.0088315	364.7547233
0.0088675	364.9008922
0.0088915	364.9732871
0.0089515	365.2221879
0.009047	365.3980042
0.009115	365.5283151
0.009135	365.4262727
0.009175	365.660005
0.009235	365.8578845
0.0093025	365.9158005
0.0094025	365.9888849
0.0094945	366.2302014
0.00955	366.4053282
0.009566	366.2888068
0.009618	366.5956235
0.009682	366.5880393
0.009742	366.5659761
0.0098115	366.8300453
0.0099115	366.9603562
0.0099115	367.1947779
0.0099115	367.2168412
0.0100115	367.2823414
0.0101115	367.3988628
0.0102115	367.7063689
0.0102115	367.8304746
0.0103115	367.8091008
0.0104115	368.0862701
0.0104115	368.129707
0.0105115	368.2765654
0.0105115	368.3055233
0.0106115	368.3999815
0.0106115	368.3855025
0.0107115	368.4144605
0.0107115	368.655777
0.0108115	368.61234
0.0109115	368.9922412
0.0109115	369.3211211
0.0110115	369.167368
0.0111115	369.4011003
0.0112115	369.4300582
0.0112115	369.6203535
0.0112115	369.7451487
0.0113115	369.876149
0.0113115	369.9561282
0.0114115	369.9561282
0.0115115	369.9712967
0.0116115	370.1098813
0.0116115	370.1829657
0.0117115	370.3801558
0.0117115	370.3580926
0.0118115	370.5559721
0.0118115	370.5483879
0.0119115	370.6145775
0.0120115	371.1475423
0.0120115	371.2502742
0.0121115	371.3295639
0.0121115	371.2647532
0.0122115	371.4033378
0.0123115	371.6446543
0.0123115	371.5860488
0.0124115	371.6301753
0.0125115	371.9142393
0.0126115	372.0169712
0.0126115	371.951471
0.0127115	372.0976398
0.0127115	372.2720772
0.0128115	372.3748091
0.0128115	372.5506254
0.0129115	372.6161256
0.0130115	372.7691892
0.0129115	372.7043785
0.0130115	372.9519003
0.0131115	373.0105057
0.0132115	373.273196
0.0133115	373.229759
0.0133115	373.5738074
0.0133115	373.4490123
0.0134115	373.5441599
0.0135115	373.7627237
0.0135115	373.8875188
0.0135115	373.755829
0.0136115	373.7627237
0.0137115	373.9164768
0.0137115	374.2088145
0.0137115	374.2012303
0.0138115	374.2887937
0.0138115	374.4204836
0.0139115	374.5528629
0.0140115	374.7273003
0.0140115	374.8224479
0.0140115	375.0568697
0.0141115	375.1375383
0.0142115	375.1878701
0.0143115	375.1589121
0.0143115	375.4002286
0.0143115	375.2388913
0.0144115	375.4216023
0.0145115	375.3781654
0.0146115	375.2830177
0.0146115	375.5974186
0.0146115	375.8090877
0.0147115	375.6987716
0.0148115	375.8601089
0.0149115	376.04282
0.0149115	376.1814046
0.0149115	376.2765522
0.0150115	376.5909532
0.0151115	376.6785166
0.0151115	376.6206006
0.0151115	376.5764742
0.0152115	376.8536434
0.0153115	376.9053541
0.0153115	376.9487911
0.0153115	376.8467487
0.0155115	377.1025441
0.0156115	377.263192
0.0155115	377.1970023
0.0156115	377.3872976
0.0157115	377.4603821
0.0157115	377.7816777
0.0158115	377.81822
0.0158115	377.8547622
0.0158115	377.9354308
0.0160115	378.0967681
0.0160115	378.0891839
0.0161115	378.4546061
0.0161115	378.0381627
0.0162115	378.4615008
0.0163115	378.9655076
0.0162115	378.5276905
0.0163115	378.4325428
0.0164115	378.6511066
0.0165115	378.6214592
0.0165115	378.8048597
0.0165115	378.6580014
0.0166115	378.9875708
0.0167115	379.1040922
0.0167115	379.1185712
0.0168115	379.3529929
0.0168115	379.4040141
0.0169115	379.5432882
0.0169115	379.7397888
0.0170115	379.761852
0.0171115	380.1341689
0.0171115	380.032816
0.0171115	380.258964
0.0172115	380.2437956
0.0173115	380.2148376
0.0173115	380.1782954
0.0174115	380.2513798
0.0174115	380.302401
0.0175115	380.3685907
0.0175115	380.5871545
0.0176115	380.6533441
0.0177115	380.7774498
0.0178115	381.04014
0.0178115	380.9973925
0.0178115	381.0766822
0.0179115	381.3331672
0.0180115	381.0911612
0.0180115	381.5220836
0.0181115	381.551731
0.0181115	381.5737942
0.0182115	381.7709843
0.0183115	381.7199631
0.0183115	381.9543848
0.0184115	381.7054841
0.0184115	382.3122227
0.0185115	381.9909271
0.0186115	382.1584697
0.0186115	382.4508074
0.0187115	382.4866601
0.0187115	382.6479974
0.0188115	382.8238137
0.0189115	382.8451875
0.0189115	382.7286661
0.0190115	382.9623984
0.0190115	382.8382927
0.0191115	383.3719469
0.0192115	383.1520042
0.0192115	383.2692151
0.0193115	383.5022579
0.0193115	383.4229681
0.0194115	383.3567785
0.0194115	383.4450314
0.0195115	383.8173483
0.0196115	383.8028693
0.0196115	383.7077216
0.0196115	383.9414539
0.0197115	384.0434963
0.0198115	383.9049117
0.0198115	384.2848128
0.0199115	384.4964819
0.0200115	384.4668344
0.0200115	384.4744186
0.0201115	384.861904
0.0201115	384.9136147
0.0201115	384.9060304
0.0203115	384.7743406
0.0203115	385.0956363
0.0203115	385.0811573
0.0204115	384.818467
0.0205115	385.0811573
0.0205115	385.2638683
0.0206115	385.4679532
0.0206115	385.5631008
0.0207115	385.4100372
0.0207115	385.6947907
0.0208115	385.6878959
0.0208115	385.599643
0.0209115	385.9574809
0.0209115	385.856128
0.0210115	386.1188182
0.0210115	386.0746918
0.0211115	386.0236706
0.0212115	386.2939451
0.0212115	386.1036498
0.0212115	386.1774237
0.0213115	386.2139659
0.0214115	386.2505081
0.0215115	386.4180507
0.0215115	386.6448882
0.0215115	386.5862828
0.0215115	386.7034937
0.0216115	386.9806629
0.0217115	387.0316841
0.0218115	387.1123528
0.0218115	387.1930214
0.0218115	387.5143171
0.0218115	387.134416
0.0219115	387.3467745
0.0220115	387.5653383
0.0220115	387.5287961
0.0221115	387.4770854
0.0221115	387.4770854
0.0222115	387.7997601
0.0222115	387.886634
0.0223115	387.6825492
0.0224115	388.0328029
0.0224115	388.1569085
